名称,名称2,承载,省份,县市,year,length,category,序号,longitude,latitude,elevation
铜陵长江公铁大桥,铜陵长江公铁大桥,"宣铜高速
 合福高速铁路、庐铜铁路",安徽省,"无为县
铜陵县",2015,16719,斜拉桥,319,117.97369,31.082795,6
芜湖长江二桥,芜湖长江二桥,巢黄高速,安徽省,"无为县
繁昌县",2017,13975,斜拉桥,320,118.133087,31.234911,1
芜湖长江大桥,芜湖长江大桥,芜合高速,安徽省,"无为县
芜湖市",2000,5681,斜拉桥,323,118.341074,31.385737,0
芜湖长江大桥,芜湖长江大桥,淮南铁路,安徽省,"无为县
芜湖市",2000,10521,斜拉桥,324,118.341074,31.385737,0
马鞍山长江大桥,左汊桥,常合高速,安徽省,"和县
当涂县",2013,10900,悬索桥,327,118.50741,31.615933,16
马鞍山长江大桥,右汊桥,常合高速,安徽省,"当涂县
马鞍山市",2013,10900,斜拉桥,328,118.50741,31.615933,16
大胜关长江大桥,大胜关长江大桥,"京沪高速铁路、宁蓉铁路
 南京地铁S3号线",江苏省,南京市,2009,9270,拱桥,329,118.74253,32.114102,0
南京长江第三大桥,南京长江第三大桥,"沪蓉高速
 南京绕城高速",江苏省,南京市,2005,4788,斜拉桥,330,118.644795,31.969112,0
南京地铁10号线过江隧道,南京地铁10号线过江隧道,南京地铁10号线,江苏省,南京市,2014,3345,隧道,334,118.668579,32.057344,5
夹江大桥,夹江大桥,六车道公路,江苏省,南京市,2010,665.5,悬索桥,335,118.705192,32.033867,2
南京长江隧道,南京长江隧道,六车道公路,江苏省,南京市,2009,3825,隧道,336,118.702979,32.035677,3
南京扬子江隧道,南京扬子江隧道,八车道公路,江苏省,南京市,2016,7368,隧道,337,118.704989,31.991678,3
南京长江大桥,南京长江大桥,104国道,江苏省,南京市,1968,4588,桁架桥,339,118.75571,32.09478,10
南京长江大桥,南京长江大桥,京沪铁路,江苏省,南京市,1968,6772,桁架桥,340,118.75571,32.09478,10
南京地铁3号线过江隧道,南京地铁3号线过江隧道,南京地铁3号线,江苏省,南京市,2015,3100,隧道,342,118.668579,32.057344,5
南京长江第二大桥,北汊桥,宁洛高速,江苏省,南京市,2001,2172,梁式桥,346,118.844147,32.155628,4
南京长江第二大桥,南汊桥,宁洛高速,江苏省,南京市,2001,2938,斜拉桥,347,118.844147,32.155628,4
南京长江第四大桥,南京长江第四大桥,南京绕城高速,江苏省,南京市,2012,5448,悬索桥,350,118.945241,32.174726,-1
润扬长江大桥,北汊桥,扬溧高速,江苏省,"扬州市
镇江市",2005,7210,斜拉桥,352,119.371566,32.199377,2
润扬长江大桥,南汊桥,扬溧高速,江苏省,镇江市,2005,7210,悬索桥,353,119.371566,32.199377,2
